#NSGA2
popsize 50
maxGen 200
numVar 8
numObj 3
numCons 6
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	150.842
firstFrontCount	1
frontCount	50
avgEvalTime	3.01493
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
0.833166	0.820014	0.540455	0.158609	0.0421276	0.226311	0.954758	0.748919	0.984961	391.799	57.1014	0	0	0	0	0	0	
0.685578	0.712683	0.646746	0.343728	0.55777	0.363768	0.857605	1	0.983114	438.313	104.033	0	0	0	0	0	0	
0.551879	0.553894	0.427237	0.0376495	0.238735	0.873238	0.788521	0.65025	0.993565	377.773	73.8499	0	0	0	0	0	0	
0.512394	0.579168	0.25009	0	0.224848	0.929126	0.770935	0.762023	1.01346	349.311	73.513	0	0	0	0	0	0	
0.833166	0.943978	0.763594	0.158609	0.0421276	0.226311	0.873661	0.748919	1.00216	396.203	134.04	0	0	0	0	0	0	
0.897631	0.33575	0.556537	0.104486	0.380377	0.333515	0.32849	0.838311	0.990446	383.893	77.9436	0	0	0	0	0	0	
0.996097	0.710614	0.238014	0.46906	0.496661	0.827548	0.943143	0.896036	0.980761	404.042	57.2492	0	0	0	0	0	0	
0.833166	0.943978	0.212717	0.158609	0.0421276	0.226311	0.954758	0.748919	0.998563	387.388	50.7885	0	0	0	0	0	0	
0.833166	0.943978	0.466469	0.347905	0	0.226311	0.954758	0.748919	1.0077	433.345	48.1241	0	0	0	0	0	0	
0.923159	0.411047	0.448551	0.052043	0.475766	0.140431	0.209449	0.962919	1.00121	369.64	66.8808	0	0	0	0	0	0	
